n:1 mse_avg:185.97 mse_y:257.71 mse_u:55.52 mse_v:29.46 psnr_avg:25.44 psnr_y:24.02 psnr_u:30.69 psnr_v:33.44 
n:2 mse_avg:201.79 mse_y:281.18 mse_u:55.18 mse_v:30.80 psnr_avg:25.08 psnr_y:23.64 psnr_u:30.71 psnr_v:33.25 
n:3 mse_avg:204.55 mse_y:285.22 mse_u:55.75 mse_v:30.67 psnr_avg:25.02 psnr_y:23.58 psnr_u:30.67 psnr_v:33.26 
n:4 mse_avg:218.69 mse_y:306.39 mse_u:56.26 mse_v:30.30 psnr_avg:24.73 psnr_y:23.27 psnr_u:30.63 psnr_v:33.32 
n:5 mse_avg:225.72 mse_y:316.89 mse_u:56.50 mse_v:30.23 psnr_avg:24.60 psnr_y:23.12 psnr_u:30.61 psnr_v:33.33 
n:6 mse_avg:235.35 mse_y:331.22 mse_u:56.80 mse_v:30.42 psnr_avg:24.41 psnr_y:22.93 psnr_u:30.59 psnr_v:33.30 
n:7 mse_avg:238.88 mse_y:336.86 mse_u:55.75 mse_v:30.09 psnr_avg:24.35 psnr_y:22.86 psnr_u:30.67 psnr_v:33.35 
n:8 mse_avg:426.50 mse_y:614.25 mse_u:67.86 mse_v:34.12 psnr_avg:21.83 psnr_y:20.25 psnr_u:29.81 psnr_v:32.80 
n:9 mse_avg:512.31 mse_y:740.77 mse_u:73.43 mse_v:37.35 psnr_avg:21.04 psnr_y:19.43 psnr_u:29.47 psnr_v:32.41 
n:10 mse_avg:516.22 mse_y:746.47 mse_u:74.10 mse_v:37.35 psnr_avg:21.00 psnr_y:19.40 psnr_u:29.43 psnr_v:32.41 
n:11 mse_avg:504.89 mse_y:729.34 mse_u:74.35 mse_v:37.66 psnr_avg:21.10 psnr_y:19.50 psnr_u:29.42 psnr_v:32.37 
n:12 mse_avg:523.29 mse_y:757.38 mse_u:73.54 mse_v:36.70 psnr_avg:20.94 psnr_y:19.34 psnr_u:29.47 psnr_v:32.48 
n:13 mse_avg:533.33 mse_y:772.21 mse_u:73.93 mse_v:37.23 psnr_avg:20.86 psnr_y:19.25 psnr_u:29.44 psnr_v:32.42 
n:14 mse_avg:520.83 mse_y:753.40 mse_u:72.41 mse_v:38.97 psnr_avg:20.96 psnr_y:19.36 psnr_u:29.53 psnr_v:32.22 
n:15 mse_avg:540.03 mse_y:781.70 mse_u:74.17 mse_v:39.22 psnr_avg:20.81 psnr_y:19.20 psnr_u:29.43 psnr_v:32.20 
n:16 mse_avg:535.21 mse_y:773.98 mse_u:76.15 mse_v:39.19 psnr_avg:20.85 psnr_y:19.24 psnr_u:29.31 psnr_v:32.20 
n:17 mse_avg:538.60 mse_y:779.16 mse_u:75.37 mse_v:39.58 psnr_avg:20.82 psnr_y:19.21 psnr_u:29.36 psnr_v:32.16 
n:18 mse_avg:547.26 mse_y:791.92 mse_u:76.36 mse_v:39.51 psnr_avg:20.75 psnr_y:19.14 psnr_u:29.30 psnr_v:32.16 
n:19 mse_avg:546.96 mse_y:791.78 mse_u:74.90 mse_v:39.71 psnr_avg:20.75 psnr_y:19.14 psnr_u:29.39 psnr_v:32.14 
n:20 mse_avg:541.15 mse_y:783.24 mse_u:74.28 mse_v:39.69 psnr_avg:20.80 psnr_y:19.19 psnr_u:29.42 psnr_v:32.14 
n:21 mse_avg:549.68 mse_y:796.31 mse_u:73.40 mse_v:39.43 psnr_avg:20.73 psnr_y:19.12 psnr_u:29.47 psnr_v:32.17 
n:22 mse_avg:576.11 mse_y:835.58 mse_u:74.67 mse_v:39.62 psnr_avg:20.53 psnr_y:18.91 psnr_u:29.40 psnr_v:32.15 
n:23 mse_avg:564.01 mse_y:817.98 mse_u:72.88 mse_v:39.27 psnr_avg:20.62 psnr_y:19.00 psnr_u:29.50 psnr_v:32.19 
n:24 mse_avg:576.25 mse_y:835.69 mse_u:75.37 mse_v:39.33 psnr_avg:20.52 psnr_y:18.91 psnr_u:29.36 psnr_v:32.18 
