n:1 mse_avg:100.46 mse_y:135.07 mse_u:38.88 mse_v:23.58 psnr_avg:28.11 psnr_y:26.83 psnr_u:32.23 psnr_v:34.41 
n:2 mse_avg:111.87 mse_y:151.79 mse_u:39.98 mse_v:24.09 psnr_avg:27.64 psnr_y:26.32 psnr_u:32.11 psnr_v:34.31 
n:3 mse_avg:114.88 mse_y:156.45 mse_u:39.89 mse_v:23.61 psnr_avg:27.53 psnr_y:26.19 psnr_u:32.12 psnr_v:34.40 
n:4 mse_avg:122.53 mse_y:167.73 mse_u:40.19 mse_v:24.10 psnr_avg:27.25 psnr_y:25.88 psnr_u:32.09 psnr_v:34.31 
n:5 mse_avg:130.07 mse_y:178.89 mse_u:40.55 mse_v:24.31 psnr_avg:26.99 psnr_y:25.60 psnr_u:32.05 psnr_v:34.27 
n:6 mse_avg:136.44 mse_y:188.35 mse_u:40.89 mse_v:24.37 psnr_avg:26.78 psnr_y:25.38 psnr_u:32.01 psnr_v:34.26 
n:7 mse_avg:138.02 mse_y:190.77 mse_u:40.96 mse_v:24.09 psnr_avg:26.73 psnr_y:25.33 psnr_u:32.01 psnr_v:34.31 
n:8 mse_avg:143.74 mse_y:199.12 mse_u:41.65 mse_v:24.30 psnr_avg:26.56 psnr_y:25.14 psnr_u:31.93 psnr_v:34.28 
n:9 mse_avg:152.45 mse_y:211.88 mse_u:42.22 mse_v:24.96 psnr_avg:26.30 psnr_y:24.87 psnr_u:31.88 psnr_v:34.16 
n:10 mse_avg:156.05 mse_y:217.31 mse_u:42.19 mse_v:24.90 psnr_avg:26.20 psnr_y:24.76 psnr_u:31.88 psnr_v:34.17 
n:11 mse_avg:158.87 mse_y:221.50 mse_u:42.17 mse_v:25.07 psnr_avg:26.12 psnr_y:24.68 psnr_u:31.88 psnr_v:34.14 
n:12 mse_avg:164.08 mse_y:229.21 mse_u:42.56 mse_v:25.07 psnr_avg:25.98 psnr_y:24.53 psnr_u:31.84 psnr_v:34.14 
n:13 mse_avg:323.57 mse_y:463.44 mse_u:56.91 mse_v:30.77 psnr_avg:23.03 psnr_y:21.47 psnr_u:30.58 psnr_v:33.25 
n:14 mse_avg:361.75 mse_y:519.51 mse_u:59.75 mse_v:32.74 psnr_avg:22.55 psnr_y:20.97 psnr_u:30.37 psnr_v:32.98 
n:15 mse_avg:353.04 mse_y:506.22 mse_u:60.52 mse_v:32.84 psnr_avg:22.65 psnr_y:21.09 psnr_u:30.31 psnr_v:32.97 
n:16 mse_avg:359.02 mse_y:514.83 mse_u:61.18 mse_v:33.61 psnr_avg:22.58 psnr_y:21.01 psnr_u:30.26 psnr_v:32.87 
n:17 mse_avg:368.69 mse_y:529.26 mse_u:61.55 mse_v:33.54 psnr_avg:22.46 psnr_y:20.89 psnr_u:30.24 psnr_v:32.87 
n:18 mse_avg:366.26 mse_y:526.04 mse_u:59.97 mse_v:33.44 psnr_avg:22.49 psnr_y:20.92 psnr_u:30.35 psnr_v:32.89 
n:19 mse_avg:377.53 mse_y:542.63 mse_u:60.63 mse_v:34.02 psnr_avg:22.36 psnr_y:20.79 psnr_u:30.30 psnr_v:32.81 
n:20 mse_avg:377.20 mse_y:541.96 mse_u:61.22 mse_v:34.13 psnr_avg:22.37 psnr_y:20.79 psnr_u:30.26 psnr_v:32.80 
n:21 mse_avg:376.56 mse_y:540.88 mse_u:61.52 mse_v:34.30 psnr_avg:22.37 psnr_y:20.80 psnr_u:30.24 psnr_v:32.78 
n:22 mse_avg:392.21 mse_y:564.35 mse_u:61.81 mse_v:34.02 psnr_avg:22.20 psnr_y:20.62 psnr_u:30.22 psnr_v:32.81 
n:23 mse_avg:375.32 mse_y:538.96 mse_u:61.49 mse_v:34.60 psnr_avg:22.39 psnr_y:20.82 psnr_u:30.24 psnr_v:32.74 
n:24 mse_avg:377.21 mse_y:541.56 mse_u:62.25 mse_v:34.80 psnr_avg:22.36 psnr_y:20.79 psnr_u:30.19 psnr_v:32.72 
n:25 mse_avg:369.92 mse_y:530.85 mse_u:61.74 mse_v:34.39 psnr_avg:22.45 psnr_y:20.88 psnr_u:30.23 psnr_v:32.77 
