n:1 mse_avg:33.38 mse_y:39.25 mse_u:25.67 mse_v:17.57 psnr_avg:32.90 psnr_y:32.19 psnr_u:34.04 psnr_v:35.68 
n:2 mse_avg:36.76 mse_y:43.33 mse_u:28.73 mse_v:18.51 psnr_avg:32.48 psnr_y:31.76 psnr_u:33.55 psnr_v:35.46 
n:3 mse_avg:36.79 mse_y:43.27 mse_u:29.20 mse_v:18.42 psnr_avg:32.47 psnr_y:31.77 psnr_u:33.48 psnr_v:35.48 
n:4 mse_avg:37.91 mse_y:44.61 mse_u:30.51 mse_v:18.49 psnr_avg:32.34 psnr_y:31.64 psnr_u:33.29 psnr_v:35.46 
n:5 mse_avg:38.27 mse_y:44.78 mse_u:31.67 mse_v:18.85 psnr_avg:32.30 psnr_y:31.62 psnr_u:33.12 psnr_v:35.38 
n:6 mse_avg:38.62 mse_y:45.17 mse_u:32.16 mse_v:18.86 psnr_avg:32.26 psnr_y:31.58 psnr_u:33.06 psnr_v:35.38 
n:7 mse_avg:38.77 mse_y:45.35 mse_u:32.47 mse_v:18.76 psnr_avg:32.25 psnr_y:31.57 psnr_u:33.02 psnr_v:35.40 
n:8 mse_avg:39.13 mse_y:45.68 mse_u:32.98 mse_v:19.07 psnr_avg:32.21 psnr_y:31.53 psnr_u:32.95 psnr_v:35.33 
n:9 mse_avg:39.22 mse_y:45.66 mse_u:33.63 mse_v:19.07 psnr_avg:32.20 psnr_y:31.54 psnr_u:32.86 psnr_v:35.33 
n:10 mse_avg:39.87 mse_y:46.51 mse_u:33.81 mse_v:19.33 psnr_avg:32.12 psnr_y:31.45 psnr_u:32.84 psnr_v:35.27 
n:11 mse_avg:40.40 mse_y:47.33 mse_u:33.80 mse_v:19.28 psnr_avg:32.07 psnr_y:31.38 psnr_u:32.84 psnr_v:35.28 
n:12 mse_avg:41.05 mse_y:48.21 mse_u:34.16 mse_v:19.29 psnr_avg:32.00 psnr_y:31.30 psnr_u:32.80 psnr_v:35.28 
n:13 mse_avg:48.18 mse_y:58.65 mse_u:34.83 mse_v:19.67 psnr_avg:31.30 psnr_y:30.45 psnr_u:32.71 psnr_v:35.19 
n:14 mse_avg:56.87 mse_y:71.20 mse_u:35.99 mse_v:20.40 psnr_avg:30.58 psnr_y:29.61 psnr_u:32.57 psnr_v:35.03 
n:15 mse_avg:59.12 mse_y:74.21 mse_u:37.26 mse_v:20.62 psnr_avg:30.41 psnr_y:29.43 psnr_u:32.42 psnr_v:34.99 
n:16 mse_avg:58.75 mse_y:73.60 mse_u:37.43 mse_v:20.63 psnr_avg:30.44 psnr_y:29.46 psnr_u:32.40 psnr_v:34.99 
n:17 mse_avg:59.01 mse_y:73.75 mse_u:37.94 mse_v:21.11 psnr_avg:30.42 psnr_y:29.45 psnr_u:32.34 psnr_v:34.89 
n:18 mse_avg:58.38 mse_y:72.81 mse_u:38.05 mse_v:21.02 psnr_avg:30.47 psnr_y:29.51 psnr_u:32.33 psnr_v:34.91 
n:19 mse_avg:56.70 mse_y:70.09 mse_u:38.41 mse_v:21.42 psnr_avg:30.60 psnr_y:29.67 psnr_u:32.29 psnr_v:34.82 
n:20 mse_avg:56.94 mse_y:70.27 mse_u:38.68 mse_v:21.85 psnr_avg:30.58 psnr_y:29.66 psnr_u:32.26 psnr_v:34.74 
