n:1 mse_avg:81.66 mse_y:106.85 mse_u:39.63 mse_v:22.92 psnr_avg:29.01 psnr_y:27.84 psnr_u:32.15 psnr_v:34.53 
n:2 mse_avg:84.63 mse_y:110.94 mse_u:40.53 mse_v:23.48 psnr_avg:28.86 psnr_y:27.68 psnr_u:32.05 psnr_v:34.42 
n:3 mse_avg:84.81 mse_y:111.16 mse_u:40.76 mse_v:23.49 psnr_avg:28.85 psnr_y:27.67 psnr_u:32.03 psnr_v:34.42 
n:4 mse_avg:87.41 mse_y:114.77 mse_u:41.76 mse_v:23.59 psnr_avg:28.72 psnr_y:27.53 psnr_u:31.92 psnr_v:34.40 
n:5 mse_avg:88.41 mse_y:116.05 mse_u:42.30 mse_v:23.96 psnr_avg:28.67 psnr_y:27.48 psnr_u:31.87 psnr_v:34.34 
n:6 mse_avg:89.33 mse_y:117.45 mse_u:42.47 mse_v:23.70 psnr_avg:28.62 psnr_y:27.43 psnr_u:31.85 psnr_v:34.38 
n:7 mse_avg:90.12 mse_y:118.46 mse_u:43.04 mse_v:23.84 psnr_avg:28.58 psnr_y:27.40 psnr_u:31.79 psnr_v:34.36 
n:8 mse_avg:162.34 mse_y:223.31 mse_u:52.59 mse_v:28.17 psnr_avg:26.03 psnr_y:24.64 psnr_u:30.92 psnr_v:33.63 
n:9 mse_avg:256.49 mse_y:362.76 mse_u:56.92 mse_v:30.99 psnr_avg:24.04 psnr_y:22.53 psnr_u:30.58 psnr_v:33.22 
n:10 mse_avg:271.75 mse_y:385.62 mse_u:57.09 mse_v:30.93 psnr_avg:23.79 psnr_y:22.27 psnr_u:30.57 psnr_v:33.23 
n:11 mse_avg:288.70 mse_y:410.87 mse_u:57.72 mse_v:30.97 psnr_avg:23.53 psnr_y:21.99 psnr_u:30.52 psnr_v:33.22 
n:12 mse_avg:296.15 mse_y:422.02 mse_u:58.21 mse_v:30.64 psnr_avg:23.42 psnr_y:21.88 psnr_u:30.48 psnr_v:33.27 
n:13 mse_avg:307.52 mse_y:438.81 mse_u:58.84 mse_v:31.08 psnr_avg:23.25 psnr_y:21.71 psnr_u:30.43 psnr_v:33.21 
n:14 mse_avg:316.23 mse_y:451.90 mse_u:58.41 mse_v:31.40 psnr_avg:23.13 psnr_y:21.58 psnr_u:30.47 psnr_v:33.16 
n:15 mse_avg:320.13 mse_y:457.48 mse_u:59.26 mse_v:31.64 psnr_avg:23.08 psnr_y:21.53 psnr_u:30.40 psnr_v:33.13 
n:16 mse_avg:307.18 mse_y:438.47 mse_u:57.73 mse_v:31.46 psnr_avg:23.26 psnr_y:21.71 psnr_u:30.52 psnr_v:33.15 
n:17 mse_avg:307.85 mse_y:439.68 mse_u:56.85 mse_v:31.50 psnr_avg:23.25 psnr_y:21.70 psnr_u:30.58 psnr_v:33.15 
n:18 mse_avg:312.10 mse_y:445.86 mse_u:57.29 mse_v:31.87 psnr_avg:23.19 psnr_y:21.64 psnr_u:30.55 psnr_v:33.10 
n:19 mse_avg:307.67 mse_y:439.01 mse_u:58.20 mse_v:31.77 psnr_avg:23.25 psnr_y:21.71 psnr_u:30.48 psnr_v:33.11 
n:20 mse_avg:314.43 mse_y:448.94 mse_u:58.43 mse_v:32.36 psnr_avg:23.16 psnr_y:21.61 psnr_u:30.46 psnr_v:33.03 
n:21 mse_avg:311.98 mse_y:445.46 mse_u:58.38 mse_v:31.63 psnr_avg:23.19 psnr_y:21.64 psnr_u:30.47 psnr_v:33.13 
n:22 mse_avg:302.18 mse_y:430.72 mse_u:58.38 mse_v:31.82 psnr_avg:23.33 psnr_y:21.79 psnr_u:30.47 psnr_v:33.10 
n:23 mse_avg:302.70 mse_y:431.41 mse_u:57.99 mse_v:32.57 psnr_avg:23.32 psnr_y:21.78 psnr_u:30.50 psnr_v:33.00 
n:24 mse_avg:302.37 mse_y:430.83 mse_u:58.71 mse_v:32.17 psnr_avg:23.33 psnr_y:21.79 psnr_u:30.44 psnr_v:33.06 
n:25 mse_avg:300.90 mse_y:428.92 mse_u:58.40 mse_v:31.30 psnr_avg:23.35 psnr_y:21.81 psnr_u:30.47 psnr_v:33.18 
n:26 mse_avg:303.21 mse_y:432.17 mse_u:58.18 mse_v:32.42 psnr_avg:23.31 psnr_y:21.77 psnr_u:30.48 psnr_v:33.02 
n:27 mse_avg:306.29 mse_y:436.75 mse_u:58.17 mse_v:32.57 psnr_avg:23.27 psnr_y:21.73 psnr_u:30.48 psnr_v:33.00 
n:28 mse_avg:304.19 mse_y:433.59 mse_u:57.95 mse_v:32.81 psnr_avg:23.30 psnr_y:21.76 psnr_u:30.50 psnr_v:32.97 
n:29 mse_avg:303.55 mse_y:432.33 mse_u:59.18 mse_v:32.81 psnr_avg:23.31 psnr_y:21.77 psnr_u:30.41 psnr_v:32.97 
n:30 mse_avg:303.71 mse_y:432.38 mse_u:59.43 mse_v:33.30 psnr_avg:23.31 psnr_y:21.77 psnr_u:30.39 psnr_v:32.91 
n:31 mse_avg:296.10 mse_y:421.21 mse_u:58.77 mse_v:32.96 psnr_avg:23.42 psnr_y:21.89 psnr_u:30.44 psnr_v:32.95 
n:32 mse_avg:303.84 mse_y:432.98 mse_u:58.16 mse_v:32.98 psnr_avg:23.30 psnr_y:21.77 psnr_u:30.48 psnr_v:32.95 
n:33 mse_avg:300.27 mse_y:427.29 mse_u:59.45 mse_v:33.04 psnr_avg:23.36 psnr_y:21.82 psnr_u:30.39 psnr_v:32.94 
n:34 mse_avg:299.31 mse_y:425.75 mse_u:59.04 mse_v:33.79 psnr_avg:23.37 psnr_y:21.84 psnr_u:30.42 psnr_v:32.84 
