n:1 mse_avg:15.69 mse_y:17.27 mse_u:13.89 mse_v:11.18 psnr_avg:36.17 psnr_y:35.76 psnr_u:36.70 psnr_v:37.65 
n:2 mse_avg:19.79 mse_y:21.19 mse_u:20.04 mse_v:13.91 psnr_avg:35.17 psnr_y:34.87 psnr_u:35.11 psnr_v:36.70 
n:3 mse_avg:20.10 mse_y:21.33 mse_u:20.92 mse_v:14.37 psnr_avg:35.10 psnr_y:34.84 psnr_u:34.93 psnr_v:36.55 
n:4 mse_avg:20.79 mse_y:21.95 mse_u:22.25 mse_v:14.71 psnr_avg:34.95 psnr_y:34.72 psnr_u:34.66 psnr_v:36.45 
n:5 mse_avg:21.18 mse_y:22.17 mse_u:23.26 mse_v:15.13 psnr_avg:34.87 psnr_y:34.67 psnr_u:34.46 psnr_v:36.33 
n:6 mse_avg:21.57 mse_y:22.50 mse_u:24.02 mse_v:15.38 psnr_avg:34.79 psnr_y:34.61 psnr_u:34.32 psnr_v:36.26 
n:7 mse_avg:21.45 mse_y:22.35 mse_u:23.81 mse_v:15.49 psnr_avg:34.82 psnr_y:34.64 psnr_u:34.36 psnr_v:36.23 
n:8 mse_avg:21.56 mse_y:22.47 mse_u:23.78 mse_v:15.67 psnr_avg:34.79 psnr_y:34.61 psnr_u:34.37 psnr_v:36.18 
n:9 mse_avg:21.94 mse_y:22.95 mse_u:24.23 mse_v:15.59 psnr_avg:34.72 psnr_y:34.52 psnr_u:34.29 psnr_v:36.20 
n:10 mse_avg:22.25 mse_y:23.31 mse_u:24.16 mse_v:16.09 psnr_avg:34.66 psnr_y:34.45 psnr_u:34.30 psnr_v:36.06 
n:11 mse_avg:22.28 mse_y:23.37 mse_u:24.18 mse_v:16.01 psnr_avg:34.65 psnr_y:34.44 psnr_u:34.30 psnr_v:36.09 
n:12 mse_avg:22.66 mse_y:23.95 mse_u:24.09 mse_v:16.08 psnr_avg:34.58 psnr_y:34.34 psnr_u:34.31 psnr_v:36.07 
n:13 mse_avg:30.63 mse_y:34.97 mse_u:27.09 mse_v:16.82 psnr_avg:33.27 psnr_y:32.69 psnr_u:33.80 psnr_v:35.87 
n:14 mse_avg:36.08 mse_y:42.32 mse_u:29.37 mse_v:17.86 psnr_avg:32.56 psnr_y:31.87 psnr_u:33.45 psnr_v:35.61 
n:15 mse_avg:38.48 mse_y:45.39 mse_u:31.14 mse_v:18.17 psnr_avg:32.28 psnr_y:31.56 psnr_u:33.20 psnr_v:35.54 
n:16 mse_avg:38.26 mse_y:44.79 mse_u:32.11 mse_v:18.32 psnr_avg:32.30 psnr_y:31.62 psnr_u:33.06 psnr_v:35.50 
n:17 mse_avg:38.43 mse_y:44.75 mse_u:32.72 mse_v:18.84 psnr_avg:32.28 psnr_y:31.62 psnr_u:32.98 psnr_v:35.38 
n:18 mse_avg:37.44 mse_y:43.23 mse_u:33.09 mse_v:18.61 psnr_avg:32.40 psnr_y:31.77 psnr_u:32.93 psnr_v:35.43 
n:19 mse_avg:36.12 mse_y:41.04 mse_u:33.24 mse_v:19.28 psnr_avg:32.55 psnr_y:32.00 psnr_u:32.91 psnr_v:35.28 
n:20 mse_avg:35.48 mse_y:39.97 mse_u:33.32 mse_v:19.66 psnr_avg:32.63 psnr_y:32.11 psnr_u:32.90 psnr_v:35.20 
n:21 mse_avg:34.34 mse_y:38.56 mse_u:32.30 mse_v:19.51 psnr_avg:32.77 psnr_y:32.27 psnr_u:33.04 psnr_v:35.23 
n:22 mse_avg:32.76 mse_y:36.41 mse_u:31.48 mse_v:19.44 psnr_avg:32.98 psnr_y:32.52 psnr_u:33.15 psnr_v:35.24 
n:23 mse_avg:31.84 mse_y:35.10 mse_u:30.84 mse_v:19.78 psnr_avg:33.10 psnr_y:32.68 psnr_u:33.24 psnr_v:35.17 
n:24 mse_avg:30.09 mse_y:32.89 mse_u:29.94 mse_v:19.06 psnr_avg:33.35 psnr_y:32.96 psnr_u:33.37 psnr_v:35.33 
n:25 mse_avg:28.88 mse_y:31.44 mse_u:28.83 mse_v:18.70 psnr_avg:33.52 psnr_y:33.16 psnr_u:33.53 psnr_v:35.41 
n:26 mse_avg:27.38 mse_y:29.69 mse_u:27.17 mse_v:18.38 psnr_avg:33.76 psnr_y:33.41 psnr_u:33.79 psnr_v:35.49 
n:27 mse_avg:26.04 mse_y:27.96 mse_u:26.58 mse_v:17.86 psnr_avg:33.97 psnr_y:33.67 psnr_u:33.89 psnr_v:35.61 
n:28 mse_avg:24.77 mse_y:26.45 mse_u:25.22 mse_v:17.62 psnr_avg:34.19 psnr_y:33.91 psnr_u:34.11 psnr_v:35.67 
n:29 mse_avg:23.66 mse_y:25.11 mse_u:24.33 mse_v:17.20 psnr_avg:34.39 psnr_y:34.13 psnr_u:34.27 psnr_v:35.77 
n:30 mse_avg:23.18 mse_y:24.60 mse_u:23.63 mse_v:17.06 psnr_avg:34.48 psnr_y:34.22 psnr_u:34.40 psnr_v:35.81 
n:31 mse_avg:22.32 mse_y:23.68 mse_u:22.61 mse_v:16.62 psnr_avg:34.64 psnr_y:34.39 psnr_u:34.59 psnr_v:35.93 
n:32 mse_avg:21.78 mse_y:22.99 mse_u:22.29 mse_v:16.42 psnr_avg:34.75 psnr_y:34.52 psnr_u:34.65 psnr_v:35.98 
n:33 mse_avg:21.33 mse_y:22.30 mse_u:22.41 mse_v:16.38 psnr_avg:34.84 psnr_y:34.65 psnr_u:34.63 psnr_v:35.99 
n:34 mse_avg:21.25 mse_y:22.21 mse_u:22.57 mse_v:16.13 psnr_avg:34.86 psnr_y:34.67 psnr_u:34.59 psnr_v:36.05 
n:35 mse_avg:21.27 mse_y:22.14 mse_u:22.60 mse_v:16.43 psnr_avg:34.85 psnr_y:34.68 psnr_u:34.59 psnr_v:35.97 
n:36 mse_avg:21.46 mse_y:22.31 mse_u:22.96 mse_v:16.59 psnr_avg:34.81 psnr_y:34.65 psnr_u:34.52 psnr_v:35.93 
n:37 mse_avg:21.93 mse_y:22.96 mse_u:23.04 mse_v:16.71 psnr_avg:34.72 psnr_y:34.52 psnr_u:34.51 psnr_v:35.90 
n:38 mse_avg:22.64 mse_y:23.72 mse_u:23.73 mse_v:17.26 psnr_avg:34.58 psnr_y:34.38 psnr_u:34.38 psnr_v:35.76 
