n:1 mse_avg:74.08 mse_y:96.89 mse_u:36.61 mse_v:20.29 psnr_avg:29.43 psnr_y:28.27 psnr_u:32.50 psnr_v:35.06 
n:2 mse_avg:78.24 mse_y:102.06 mse_u:39.59 mse_v:21.60 psnr_avg:29.20 psnr_y:28.04 psnr_u:32.16 psnr_v:34.79 
n:3 mse_avg:77.68 mse_y:101.22 mse_u:39.37 mse_v:21.83 psnr_avg:29.23 psnr_y:28.08 psnr_u:32.18 psnr_v:34.74 
n:4 mse_avg:77.93 mse_y:101.64 mse_u:39.45 mse_v:21.53 psnr_avg:29.21 psnr_y:28.06 psnr_u:32.17 psnr_v:34.80 
n:5 mse_avg:78.01 mse_y:101.77 mse_u:39.33 mse_v:21.68 psnr_avg:29.21 psnr_y:28.05 psnr_u:32.18 psnr_v:34.77 
n:6 mse_avg:77.70 mse_y:101.49 mse_u:38.87 mse_v:21.38 psnr_avg:29.23 psnr_y:28.07 psnr_u:32.23 psnr_v:34.83 
n:7 mse_avg:77.29 mse_y:100.85 mse_u:39.09 mse_v:21.26 psnr_avg:29.25 psnr_y:28.09 psnr_u:32.21 psnr_v:34.86 
n:8 mse_avg:84.10 mse_y:110.02 mse_u:42.11 mse_v:22.42 psnr_avg:28.88 psnr_y:27.72 psnr_u:31.89 psnr_v:34.62 
n:9 mse_avg:89.89 mse_y:118.47 mse_u:43.01 mse_v:22.46 psnr_avg:28.59 psnr_y:27.39 psnr_u:31.80 psnr_v:34.62 
n:10 mse_avg:91.04 mse_y:120.06 mse_u:43.23 mse_v:22.76 psnr_avg:28.54 psnr_y:27.34 psnr_u:31.77 psnr_v:34.56 
n:11 mse_avg:91.92 mse_y:120.89 mse_u:44.73 mse_v:23.20 psnr_avg:28.50 psnr_y:27.31 psnr_u:31.62 psnr_v:34.48 
n:12 mse_avg:93.98 mse_y:123.88 mse_u:45.14 mse_v:23.20 psnr_avg:28.40 psnr_y:27.20 psnr_u:31.58 psnr_v:34.48 
n:13 mse_avg:94.22 mse_y:124.10 mse_u:45.37 mse_v:23.56 psnr_avg:28.39 psnr_y:27.19 psnr_u:31.56 psnr_v:34.41 
n:14 mse_avg:96.22 mse_y:126.91 mse_u:45.42 mse_v:24.24 psnr_avg:28.30 psnr_y:27.10 psnr_u:31.56 psnr_v:34.29 
n:15 mse_avg:94.21 mse_y:123.75 mse_u:45.96 mse_v:24.29 psnr_avg:28.39 psnr_y:27.21 psnr_u:31.51 psnr_v:34.28 
n:16 mse_avg:92.21 mse_y:120.94 mse_u:45.39 mse_v:24.12 psnr_avg:28.48 psnr_y:27.31 psnr_u:31.56 psnr_v:34.31 
n:17 mse_avg:89.40 mse_y:116.80 mse_u:44.88 mse_v:24.34 psnr_avg:28.62 psnr_y:27.46 psnr_u:31.61 psnr_v:34.27 
n:18 mse_avg:88.26 mse_y:115.41 mse_u:43.94 mse_v:23.95 psnr_avg:28.67 psnr_y:27.51 psnr_u:31.70 psnr_v:34.34 
n:19 mse_avg:88.19 mse_y:115.47 mse_u:43.21 mse_v:24.07 psnr_avg:28.68 psnr_y:27.51 psnr_u:31.78 psnr_v:34.32 
n:20 mse_avg:88.96 mse_y:116.74 mse_u:42.75 mse_v:24.05 psnr_avg:28.64 psnr_y:27.46 psnr_u:31.82 psnr_v:34.32 
n:21 mse_avg:88.71 mse_y:116.41 mse_u:42.58 mse_v:24.05 psnr_avg:28.65 psnr_y:27.47 psnr_u:31.84 psnr_v:34.32 
n:22 mse_avg:87.44 mse_y:114.49 mse_u:42.71 mse_v:23.99 psnr_avg:28.71 psnr_y:27.54 psnr_u:31.83 psnr_v:34.33 
n:23 mse_avg:87.27 mse_y:114.28 mse_u:42.22 mse_v:24.29 psnr_avg:28.72 psnr_y:27.55 psnr_u:31.88 psnr_v:34.28 
n:24 mse_avg:86.77 mse_y:113.41 mse_u:42.86 mse_v:24.10 psnr_avg:28.75 psnr_y:27.58 psnr_u:31.81 psnr_v:34.31 
n:25 mse_avg:87.89 mse_y:115.21 mse_u:42.37 mse_v:24.10 psnr_avg:28.69 psnr_y:27.52 psnr_u:31.86 psnr_v:34.31 
n:26 mse_avg:89.37 mse_y:117.28 mse_u:42.94 mse_v:24.19 psnr_avg:28.62 psnr_y:27.44 psnr_u:31.80 psnr_v:34.29 
n:27 mse_avg:91.47 mse_y:120.24 mse_u:43.31 mse_v:24.52 psnr_avg:28.52 psnr_y:27.33 psnr_u:31.76 psnr_v:34.23 
