n:1 mse_avg:72.85 mse_y:95.36 mse_u:35.91 mse_v:19.77 psnr_avg:29.51 psnr_y:28.34 psnr_u:32.58 psnr_v:35.17 
n:2 mse_avg:76.87 mse_y:100.50 mse_u:38.20 mse_v:21.02 psnr_avg:29.27 psnr_y:28.11 psnr_u:32.31 psnr_v:34.90 
n:3 mse_avg:75.96 mse_y:99.24 mse_u:37.65 mse_v:21.13 psnr_avg:29.33 psnr_y:28.16 psnr_u:32.37 psnr_v:34.88 
n:4 mse_avg:76.45 mse_y:99.85 mse_u:38.30 mse_v:21.00 psnr_avg:29.30 psnr_y:28.14 psnr_u:32.30 psnr_v:34.91 
n:5 mse_avg:76.15 mse_y:99.49 mse_u:37.90 mse_v:21.02 psnr_avg:29.31 psnr_y:28.15 psnr_u:32.34 psnr_v:34.90 
n:6 mse_avg:76.33 mse_y:99.89 mse_u:37.72 mse_v:20.72 psnr_avg:29.30 psnr_y:28.14 psnr_u:32.37 psnr_v:34.97 
n:7 mse_avg:75.79 mse_y:99.16 mse_u:37.63 mse_v:20.47 psnr_avg:29.33 psnr_y:28.17 psnr_u:32.38 psnr_v:35.02 
n:8 mse_avg:81.75 mse_y:106.96 mse_u:40.87 mse_v:21.79 psnr_avg:29.01 psnr_y:27.84 psnr_u:32.02 psnr_v:34.75 
n:9 mse_avg:87.01 mse_y:114.49 mse_u:42.13 mse_v:21.99 psnr_avg:28.73 psnr_y:27.54 psnr_u:31.88 psnr_v:34.71 
n:10 mse_avg:88.66 mse_y:116.82 mse_u:42.34 mse_v:22.32 psnr_avg:28.65 psnr_y:27.46 psnr_u:31.86 psnr_v:34.64 
n:11 mse_avg:88.99 mse_y:116.91 mse_u:43.44 mse_v:22.86 psnr_avg:28.64 psnr_y:27.45 psnr_u:31.75 psnr_v:34.54 
n:12 mse_avg:89.72 mse_y:117.79 mse_u:44.22 mse_v:22.90 psnr_avg:28.60 psnr_y:27.42 psnr_u:31.67 psnr_v:34.53 
n:13 mse_avg:91.11 mse_y:119.74 mse_u:44.47 mse_v:23.25 psnr_avg:28.53 psnr_y:27.35 psnr_u:31.65 psnr_v:34.47 
n:14 mse_avg:92.96 mse_y:122.25 mse_u:44.77 mse_v:23.97 psnr_avg:28.45 psnr_y:27.26 psnr_u:31.62 psnr_v:34.33 
n:15 mse_avg:90.91 mse_y:119.16 mse_u:45.01 mse_v:23.82 psnr_avg:28.54 psnr_y:27.37 psnr_u:31.60 psnr_v:34.36 
n:16 mse_avg:89.19 mse_y:116.79 mse_u:44.32 mse_v:23.64 psnr_avg:28.63 psnr_y:27.46 psnr_u:31.66 psnr_v:34.39 
n:17 mse_avg:87.10 mse_y:113.76 mse_u:43.58 mse_v:23.98 psnr_avg:28.73 psnr_y:27.57 psnr_u:31.74 psnr_v:34.33 
n:18 mse_avg:86.27 mse_y:112.91 mse_u:42.60 mse_v:23.36 psnr_avg:28.77 psnr_y:27.60 psnr_u:31.84 psnr_v:34.45 
n:19 mse_avg:86.29 mse_y:112.96 mse_u:42.29 mse_v:23.62 psnr_avg:28.77 psnr_y:27.60 psnr_u:31.87 psnr_v:34.40 
n:20 mse_avg:87.68 mse_y:115.08 mse_u:41.96 mse_v:23.83 psnr_avg:28.70 psnr_y:27.52 psnr_u:31.90 psnr_v:34.36 
